Features,Coefficients,AbsCoefficients
Airbed,76103104675091.89,76103104675091.89
Couch,76103104675087.8,76103104675087.8
Real Bed,76103104675079.77,76103104675079.77
Pull-out Sofa,76103104675078.17,76103104675078.17
Futon,76103104675076.83,76103104675076.83
Entire home/apt,59810718124149.79,59810718124149.79
Private room,59810718124110.5,59810718124110.5
Shared room,59810718124078.016,59810718124078.016
Northgate,-15910607066468.297,15910607066468.297
Rainier Valley,-15910607066458.84,15910607066458.84
Interbay,-15910607066454.617,15910607066454.617
Delridge,-15910607066453.572,15910607066453.572
Beacon Hill,-15910607066452.146,15910607066452.146
Seward Park,-15910607066451.365,15910607066451.365
Lake City,-15910607066447.504,15910607066447.504
University District,-15910607066443.33,15910607066443.33
Other neighborhoods,-15910607066440.92,15910607066440.92
Ballard,-15910607066438.26,15910607066438.26
Central Area,-15910607066436.162,15910607066436.162
West Seattle,-15910607066435.816,15910607066435.816
Capitol Hill,-15910607066413.814,15910607066413.814
Queen Anne,-15910607066412.186,15910607066412.186
Magnolia,-15910607066410.537,15910607066410.537
Downtown,-15910607066409.21,15910607066409.21
Cascade,-15910607066408.89,15910607066408.89
Boat,182.91953781909737,182.91953781909737
Camper/RV,85.78174131993187,85.78174131993187
Treehouse,57.767690963971965,57.767690963971965
Loft,57.723670283585044,57.723670283585044
Bed & Breakfast,45.045795002363555,45.045795002363555
Yurt,44.37336643863899,44.37336643863899
Bungalow,43.88852966214712,43.88852966214712
Townhouse,40.59166054290353,40.59166054290353
House,35.55839047927707,35.55839047927707
Condominium,35.486179541911554,35.486179541911554
Cabin,35.12749325063666,35.12749325063666
Doorman,34.17761326423812,34.17761326423812
bedrooms,30.876988166593048,30.876988166593048
Chalet,29.269150765646593,29.269150765646593
Apartment,28.29440847936765,28.29440847936765
bathrooms,27.39851813967744,27.39851813967744
Dorm,-21.43464824437678,21.43464824437678
Other,20.5643014843298,20.5643014843298
Hot Tub,19.837702328162944,19.837702328162944
Hangers,-11.2609889648899,11.2609889648899
Elevator in Building,10.660932923825214,10.660932923825214
24-Hour Check-in,-10.656113880227892,10.656113880227892
accommodates,10.025240474417025,10.025240474417025
Smoking Allowed,-9.817740155469382,9.817740155469382
Lock on Bedroom Door,9.319676482569287,9.319676482569287
Dog(s),8.185234217522014,8.185234217522014
Heating,-7.4391581689833375,7.4391581689833375
Cable TV,7.2191281482010226,7.2191281482010226
Indoor Fireplace,6.989386415333623,6.989386415333623
Washer / Dryer,-6.420226868591024,6.420226868591024
Iron,-6.269446255308357,6.269446255308357
Other pet(s),5.93072940351833,5.93072940351833
First Aid Kit,5.746501996618031,5.746501996618031
Laptop Friendly Workspace,5.731155712321686,5.731155712321686
Suitable for Events,5.712416990829835,5.712416990829835
Gym,-5.166780289185337,5.166780289185337
Wireless Internet,-4.697178202105654,4.697178202105654
Hair Dryer,4.66553562860713,4.66553562860713
Air Conditioning,4.64132259539006,4.64132259539006
TV,-4.390898723357882,4.390898723357882
Pool,-4.193895349965933,4.193895349965933
Tent,-3.7771838970190994,3.7771838970190994
Dryer,-3.6162685947753768,3.6162685947753768
Carbon Monoxide Detector,-3.4856997656777664,3.4856997656777664
Family/Kid Friendly,-2.9267791903007767,2.9267791903007767
Buzzer/Wireless Intercom,2.8885084460676294,2.8885084460676294
Pets Allowed,-2.666643064126601,2.666643064126601
Essentials,-2.2865728050244254,2.2865728050244254
Fire Extinguisher,-2.1732833141954453,2.1732833141954453
Internet,2.144374655724338,2.144374655724338
Free Parking on Premises,-2.049188115917423,2.049188115917423
Breakfast,-1.660163296768812,1.660163296768812
Pets live on this property,-1.5900629724373825,1.5900629724373825
Shampoo,1.3156427080260542,1.3156427080260542
Wheelchair Accessible,1.1107563645014429,1.1107563645014429
Safety Card,1.083591914326969,1.083591914326969
Washer,0.7809706239633507,0.7809706239633507
Kitchen,-0.7214356740188645,0.7214356740188645
Cat(s),-0.6227412096771358,0.6227412096771358
beds,0.15699193304704107,0.15699193304704107
Smoke Detector,-0.13859821553188306,0.13859821553188306
